GRAPH;TIME(s);LOWER BOUND;UPPER BOUND;GAP;TERMINATION CONDITION;CAPACITY;LENGTH;PROBABILITY;MINCAPACITY
data_Graph70_1_17;572.0901067256927;None;None;0;infeasible;93;100;70;1
data_Graph80_2_43;308.803671836853;None;None;0;infeasible;93;100;80;2
data_Graph40_0_7;54.5329852104187;3.0;3.0;0.0;optimal;91;100;40;0
data_Graph60_2_17;9963.52758383751;5.0;5.0;0.0;optimal;92;100;60;2
data_Graph70_1_43;355.81396484375;3.0;3.0;0.0;optimal;94;100;70;1
data_Graph40_2_43;133.8997540473938;3.0;3.0;0.0;optimal;89;100;40;2
data_Graph60_1_79;85.95679116249084;3.0;3.0;0.0;optimal;93;100;60;1
data_Graph50_0_41;55.36416840553284;3.0;3.0;0.0;optimal;93;100;50;0
data_Graph50_1_41;61.186299324035645;3.0;3.0;0.0;optimal;92;100;50;1
data_Graph70_1_7;159.1273274421692;3.0;3.0;0.0;optimal;94;100;70;1
data_Graph70_0_7;183.83443593978882;3.0;3.0;0.0;optimal;95;100;70;0
data_Graph50_0_41;55.802260398864746;3.0;3.0;0.0;optimal;93;100;50;0
data_Graph90_2_7;366.5935289859772;None;None;0;infeasible;95;100;90;2
data_Graph90_1_7;873.0491046905518;3.0;3.0;0.0;optimal;96;100;90;1
data_Graph80_2_43;510.68850922584534;None;None;0;infeasible;93;100;80;2
data_Graph70_2_79;538.6928608417511;None;None;0;infeasible;93;100;70;2
data_Graph90_1_43;1878.1359231472015;3.0;3.0;0.0;optimal;96;100;90;1
data_Graph90_0_7;268.4045855998993;3.0;3.0;0.0;optimal;97;100;90;0
data_Graph80_1_17;17859.61839747429;3.0;3.0;0.0;optimal;95;100;80;1
data_Graph40_2_79;56.521474838256836;3.0;3.0;0.0;optimal;89;100;40;2
data_Graph40_1_17;94.5584888458252;3.0;3.0;0.0;optimal;91;100;40;1
data_Graph70_2_17;535.6405086517334;None;None;0;infeasible;92;100;70;2
data_Graph60_0_41;94.91957211494446;3.0;3.0;0.0;optimal;94;100;60;0
data_Graph80_2_79;642.6122074127197;None;None;0;infeasible;94;100;80;2
data_Graph90_0_43;263.25190329551697;3.0;3.0;0.0;optimal;97;100;90;0
data_Graph60_1_17;113.74033904075623;3.0;3.0;0.0;optimal;93;100;60;1
data_Graph90_1_43;4513.387659549713;3.0;3.0;0.0;optimal;96;100;90;1
data_Graph80_2_7;603.9443438053131;None;None;0;infeasible;93;100;80;2
data_Graph80_0_7;1247.9617505073547;3.0;3.0;0.0;optimal;95;100;80;0
data_Graph90_1_79;377.87370681762695;None;None;0;infeasible;95;100;90;1
data_Graph80_1_7;677.8070793151855;None;None;0;infeasible;94;100;80;1
data_Graph40_0_41;59.099390745162964;3.0;3.0;0.0;optimal;91;100;40;0
data_Graph50_2_17;348.5409951210022;None;None;0;infeasible;90;100;50;2
data_Graph60_2_7;26444.74960923195;5.0;5.0;0.0;optimal;92;100;60;2
data_Graph40_2_41;2047.8370077610016;3.0;3.0;0.0;optimal;89;100;40;2
data_Graph80_2_41;563.8857390880585;None;None;0;infeasible;93;100;80;2
data_Graph50_0_43;57.0091667175293;3.0;3.0;0.0;optimal;93;100;50;0
data_Graph90_0_41;243.82353138923645;3.0;3.0;0.0;optimal;97;100;90;0
data_Graph90_1_41;669.9147300720215;3.0;3.0;0.0;optimal;96;100;90;1
data_Graph60_1_79;77.67988705635071;3.0;3.0;0.0;optimal;93;100;60;1
data_Graph60_0_79;81.37522339820862;3.0;3.0;0.0;optimal;94;100;60;0
data_Graph40_2_43;54.38086771965027;3.0;3.0;0.0;optimal;89;100;40;2
data_Graph70_1_17;495.93002486228943;None;None;0;infeasible;93;100;70;1
data_Graph70_0_17;139.70928859710693;3.0;3.0;0.0;optimal;94;100;70;0
data_Graph80_1_7;18684.536907196045;None;None;0;infeasible;94;100;80;1
data_Graph60_1_7;82.32242965698242;3.0;3.0;0.0;optimal;93;100;60;1
data_Graph70_0_43;168.6593680381775;3.0;3.0;0.0;optimal;95;100;70;0
data_Graph60_0_7;76.91277956962585;3.0;3.0;0.0;optimal;94;100;60;0
data_Graph50_1_43;68.477694272995;3.0;3.0;0.0;optimal;92;100;50;1
data_Graph50_0_43;55.93116068840027;3.0;3.0;0.0;optimal;93;100;50;0
data_Graph70_1_43;657.0550665855408;3.0;3.0;0.0;optimal;94;100;70;1
data_Graph70_2_79;469.1010956764221;None;None;0;infeasible;93;100;70;2
data_Graph60_2_17;181.42454361915588;5.0;5.0;0.0;optimal;92;100;60;2
data_Graph60_2_43;3001.977672100067;None;None;0;infeasible;92;100;60;2
data_Graph50_0_79;63.327462911605835;3.0;3.0;0.0;optimal;93;100;50;0
