GRAPH,TIME(s),LOWER BOUND,UPPER BOUND,GAP,TERMINATION CONDITION,CAPACITY,LENGTH

data_Graph40_2_0,41.4508318901062,3.0,3.0,0.0,optimal,89,100
data_Graph40_2_5,53.07292866706848,3.0,3.0,0.0,optimal,90,100
data_Graph40_2_9,63.126953125,3.0,3.0,0.0,optimal,90,100
data_Graph40_2_1,166.331387758255,3.0,3.0,0.0,optimal,89,100
data_Graph50_2_4,199.8625361919403,3.0,3.0,0.0,optimal,91,100
data_Graph50_2_1,287.8141145706177,None,None,0,infeasible,90,100
data_Graph40_2_8,372.95650339126587,None,None,0,infeasible,88,100
data_Graph50_2_5,329.50503301620483,None,None,0,infeasible,90,100
data_Graph50_2_7,315.6813349723816,None,None,0,infeasible,90,100
data_Graph60_2_1,313.2591800689697,None,None,0,infeasible,91,100
data_Graph60_2_3,324.90181255340576,None,None,0,infeasible,92,100
data_Graph50_2_2,986.2001414299011,None,None,0,infeasible,90,100
data_Graph40_2_2,1420.1650693416595,3.0,3.0,0.0,optimal,89,100
data_Graph60_2_0,1968.8125236034393,None,None,0,infeasible,91,100
data_Graph60_2_8,333.9182279109955,None,None,0,infeasible,92,100
data_Graph60_2_4,2549.536415576935,3.0,3.0,0.0,optimal,92,100
data_Graph40_2_4,3539.9709272384644,3.0,3.0,0.0,optimal,89,100
data_Graph60_2_6,3128.439845561981,5.0,5.0,0.0,optimal,92,100
data_Graph60_2_9,1530.3760304450989,None,None,0,infeasible,92,100
data_Graph50_2_6,4320.697437763214,None,None,0,infeasible,90,100
data_Graph90_1_2,356.8614852428436,None,None,0,infeasible,95,100
data_Graph90_1_3,342.9337191581726,None,None,0,infeasible,95,100
data_Graph50_2_3,5197.607930660248,3.0,3.0,0.0,optimal,91,100
data_Graph90_1_4,690.3322212696075,3.0,3.0,0.0,optimal,96,100
data_Graph50_2_9,4999.160806655884,3.0,3.0,0.0,optimal,91,100
data_Graph90_1_5,1118.3322913646698,3.0,3.0,0.0,optimal,96,100
data_Graph90_1_7,726.4413998126984,3.0,3.0,0.0,optimal,96,100
data_Graph40_2_6,6266.499397993088,5.0,5.0,0.0,optimal,88,100
data_Graph90_1_8,1651.4762043952942,3.0,3.0,0.0,optimal,96,100
data_Graph60_2_5,7282.678288459778,None,None,0,infeasible,92,100
data_Graph90_1_1,4729.6945950984955,None,None,0,infeasible,95,100
data_Graph90_1_6,3910.7361335754395,3.0,3.0,0.0,optimal,96,100
data_Graph50_2_8,9439.746604204178,None,None,0,infeasible,89,100
data_Graph90_1_0,6498.579082727432,3.0,3.0,0.0,optimal,96,100
data_Graph40_2_7,12078.17656159401,5.0,5.0,0.0,optimal,89,100
data_Graph90_1_9,7261.16402220726,5.0,5.0,0.0,optimal,96,100
data_Graph60_2_2,20303.57308101654,5.0,5.0,0.0,optimal,92,100
data_Graph60_2_7,24285.10377073288,5.0,5.0,0.0,optimal,92,100
