GRAPH,TIME(s),LOWER BOUND,UPPER BOUND,GAP,TERMINATION CONDITION,CAPACITY,LENGTH
data_Graph0.1,189.10267305374146,3.0,3.0,0.0,optimal,120,150
data_Graph0.1,281.8838791847229,3.0,3.0,0.0,optimal,119,150
data_Graph0.1,541.6461470127106,3.0,3.0,0.0,optimal,118,150
data_Graph0.1,176.8130121231079,3.0,3.0,0.0,optimal,120,150
data_Graph0.2,166.16995406150818,3.0,3.0,0.0,optimal,134,150
data_Graph0.7,946.6690847873688,3.0,3.0,0.0,optimal,145,150
data_Graph0.8,1193.4019289016724,3.0,3.0,0.0,optimal,146,150
data_Graph0.5,507.3928918838501,3.0,3.0,0.0,optimal,141,150
data_Graph0.4,422.8460612297058,3.0,3.0,0.0,optimal,140,150
data_Graph0.3,608.8334791660309,3.0,3.0,0.0,optimal,136,150
data_Graph0.3,29000,,,,,130,150
data_Graph0.4,927.8588509559631,3.0,3.0,0.0,optimal,139,150
data_Graph0.4,2090.619516849518,3.0,3.0,0.0,optimal,138,150
data_Graph0.4,8.687994241714478,None,None,0.0,infeasible,10,150
data_Graph0.5,11.378091812133789,None,None,0.0,infeasible,10,150
data_Graph0.7,858.0345091819763,3.0,3.0,0.0,optimal,144,150
data_Graph0.1,164.68536186218262,3.0,3.0,0.0,optimal,120,150
data_Graph0.1,728.6397261619568,3.0,3.0,0.0,optimal,117,150
