GRAPH,TIME(s),LOWER BOUND,UPPER BOUND,GAP,TERMINATION CONDITION,CAPACITY,LENGTH
data_Graph7,21.831310987472534,3.0,3.0,0,optimal,75,100
data_Graph6,28.575259923934937,3.0,3.0,0,optimal,72,100
data_Graph7,1111.8049809932709,3.0,3.0,0,optimal,70,100
data_Graph5,24.4183669090271,3.0,3.0,0,optimal,69,100
data_Graph2,4.448685884475708,3.0,3.0,0,optimal,55,100
data_Graph1,4.952106952667236,3.0,3.0,0,optimal,50,100
data_Graph2,6.817462205886841,3.0,3.0,0,optimal,53,100
data_Graph2,6.110274076461792,3.0,3.0,0,optimal,52,100
data_Graph0.5,402.0290720462799,3.0,3.0,0,optimal,142,150
data_Graph0.5,431.9286410808563,3.0,3.0,0,optimal,141,150
data_Graph0.5,5353.9601790905,3.0,3.0,0,optimal,140,150
data_Graph0.1,104.84103083610535,3.0,3.0,0,optimal,120,150
data_Graph0.1,87.6869900226593,None,None,0,infeasible,100,150
data_Graph0.1,7150.949161291122,None,None,0,infeasible,110,150
data_Graph0.2,198.50756883621216,3.0,3.0,0,optimal,132,150
data_Graph0.3,233.24829196929932,3.0,3.0,0,optimal,139,150
data_prova,0.06972599029541016,5.0,5.0,0,optimal,6,10
